 #Energy          XX              YY             ZZ              XY              YZ              XZ
 3.460056E+02  3.07923577E-01  3.23836273E-01  3.13960767E-01  1.00000000E+00  1.00000000E+00  3.43613622E-01
 3.400367E+02  3.13600643E-01  3.30948540E-01  3.20329184E-01  1.00000000E+00  1.00000000E+00  2.96390582E-01
 3.342703E+02  3.19165659E-01  3.39319360E-01  3.26686586E-01  1.00000000E+00  1.00000000E+00  2.53336962E-01
 3.287049E+02  3.24330543E-01  3.48683648E-01  3.32884121E-01  1.00000000E+00  1.00000000E+00  2.15591687E-01
 3.233133E+02  3.28769603E-01  3.58698557E-01  3.38434186E-01  1.00000000E+00  1.00000000E+00  1.83891629E-01
 3.181039E+02  3.32244447E-01  3.68684177E-01  3.42597065E-01  1.00000000E+00  1.00000000E+00  1.56715553E-01
 3.130519E+02  3.35100793E-01  3.77660437E-01  3.45573353E-01  1.00000000E+00  1.00000000E+00  1.33226904E-01
 3.081578E+02  3.37505679E-01  3.84027326E-01  3.48129065E-01  1.00000000E+00  1.00000000E+00  1.09730346E-01
 3.034217E+02  3.39022205E-01  3.86301931E-01  3.50120704E-01  1.00000000E+00  1.00000000E+00  8.73618854E-02
 2.988219E+02  3.40989110E-01  3.85423142E-01  3.51921087E-01  1.00000000E+00  1.00000000E+00  7.16501309E-02
 2.943594E+02  3.44446274E-01  3.84746515E-01  3.53799952E-01  1.00000000E+00  1.00000000E+00  6.13802502E-02
 2.900351E+02  3.48839811E-01  3.85721163E-01  3.55217166E-01  1.00000000E+00  1.00000000E+00  5.25055076E-02
 2.858293E+02  3.53945691E-01  3.87967980E-01  3.57140237E-01  1.00000000E+00  1.00000000E+00  4.40434266E-02
 2.817438E+02  3.59577101E-01  3.91021756E-01  3.60909837E-01  1.00000000E+00  1.00000000E+00  3.50137729E-02
 2.777797E+02  3.64895561E-01  3.94397857E-01  3.65957410E-01  1.00000000E+00  1.00000000E+00  2.55639883E-02
 2.739195E+02  3.68870564E-01  3.97916473E-01  3.70468647E-01  1.00000000E+00  1.00000000E+00  1.80875130E-02
 2.701652E+02  3.71846598E-01  4.02297654E-01  3.73219057E-01  1.00000000E+00  1.00000000E+00  1.60050932E-02
 2.665180E+02  3.74590896E-01  4.07874537E-01  3.73554583E-01  1.00000000E+00  1.00000000E+00  1.83217426E-02
 2.629625E+02  3.77756288E-01  4.11976067E-01  3.73063284E-01  1.00000000E+00  1.00000000E+00  1.80074398E-02
 2.595006E+02  3.81372987E-01  4.11916353E-01  3.73232281E-01  1.00000000E+00  1.00000000E+00  1.45622391E-02
 2.561339E+02  3.84034515E-01  4.07144035E-01  3.73264888E-01  1.00000000E+00  1.00000000E+00  1.14857561E-02
 2.528484E+02  3.85180756E-01  3.98203125E-01  3.72173282E-01  1.00000000E+00  1.00000000E+00  9.98826140E-03
