  #Energy          xx             yy              zz              xy              yz              zx
 2.858293E+02 -5.00139512E+15 -3.69604720E+15 -4.47654991E+15  5.24425664E+14  5.24425664E+14 -9.16696061E+13
 2.817438E+02 -4.94123087E+15 -3.42260375E+15 -4.38568489E+15  5.32030241E+14  5.32030241E+14 -1.15503765E+14
 2.777797E+02 -4.79670644E+15 -3.11141069E+15 -4.22664898E+15  5.39622729E+14  5.39622729E+14 -1.16990208E+14
 2.739195E+02 -4.58012838E+15 -2.77307437E+15 -3.96433349E+15  5.47227306E+14  5.47227306E+14 -8.05518594E+13
 2.701652E+02 -4.34250270E+15 -2.40358720E+15 -3.62349606E+15  5.54831883E+14  5.54831883E+14 -2.35248718E+13
 2.665180E+02 -4.10401063E+15 -1.93912674E+15 -3.27944026E+15  5.62424370E+14  5.62424370E+14 -2.53090967E+12
 2.629625E+02 -3.85875396E+15 -1.38186417E+15 -2.99396304E+15  5.70028947E+14  5.70028947E+14 -2.92424850E+13
 2.595006E+02 -3.56578951E+15 -8.59923028E+14 -2.72706563E+15  5.77633524E+14  5.77633524E+14 -5.45286047E+13
 2.561339E+02 -3.21809932E+15 -4.73213753E+14 -2.44285042E+15  5.85226012E+14  5.85226012E+14 -5.47771547E+13
 2.528484E+02 -2.87339058E+15 -2.47506771E+14 -2.16632154E+15  5.92830589E+14  5.92830589E+14 -5.07462984E+13
 2.496460E+02 -2.56391820E+15 -1.67701542E+14 -1.92541545E+15  6.00435166E+14  6.00435166E+14 -5.75216889E+13
 2.465287E+02 -2.28022530E+15 -1.81009832E+14 -1.72515686E+15  6.08027653E+14  6.08027653E+14 -8.54886880E+13
 2.434834E+02 -2.01108581E+15 -2.20581028E+14 -1.56321336E+15  6.15632230E+14  6.15632230E+14 -1.22141434E+14
 2.405125E+02 -1.74250779E+15 -2.39447581E+14 -1.41231693E+15  6.23236807E+14  6.23236807E+14 -1.54001815E+14
 2.376178E+02 -1.45803575E+15 -2.14608126E+14 -1.24065197E+15  6.30829295E+14  6.30829295E+14 -1.92150603E+14
 2.347874E+02 -1.16986623E+15 -1.65737433E+14 -1.07582492E+15  6.38433872E+14  6.38433872E+14 -2.37816617E+14
 2.320237E+02 -9.01482052E+14 -1.28884671E+14 -9.46769347E+14  6.46038449E+14  6.46038449E+14 -2.64681953E+14
 2.293286E+02 -6.73958858E+14 -1.12293795E+14 -8.30372741E+14  6.53630936E+14  6.53630936E+14 -2.51255732E+14
 2.266912E+02 -4.88719168E+14 -1.08508748E+14 -7.07521999E+14  6.61235513E+14  6.61235513E+14 -1.98106160E+14
 2.241178E+02 -3.22709510E+14 -1.04872230E+14 -5.82214774E+14  6.68828000E+14  6.68828000E+14 -1.25338367E+14
 2.215982E+02 -1.66131841E+14 -9.41594148E+13 -4.63221029E+14  6.76432578E+14  6.76432578E+14 -5.61439039E+13
 2.191346E+02 -3.91953290E+13 -7.53124907E+13 -3.72184616E+14  6.84037155E+14  6.84037155E+14  3.89901178E+12
 2.167291E+02  3.25065932E+13 -4.73766305E+13 -3.39866806E+14  6.91629642E+14  6.91629642E+14  6.03792677E+13
 2.143720E+02  5.32117241E+13 -7.41188272E+12 -3.53882438E+14  6.99234219E+14  6.99234219E+14  1.16282651E+14
 2.120657E+02  4.42481086E+13  5.77487297E+13 -3.75402085E+14  7.06838796E+14  7.06838796E+14  1.72610034E+14
 2.098120E+02  3.15778627E+13  1.46744186E+14 -3.93151535E+14  7.14431283E+14  7.14431283E+14  2.26331831E+14
