 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 1.826117E+02  1.25144304E+06  9.97569834E+05  1.16134026E+06  0.00000000E+00  0.00000000E+00  3.67867454E+05
 1.809381E+02  1.27948150E+06  1.00384199E+06  1.20040523E+06  0.00000000E+00  0.00000000E+00  3.90072746E+05
 1.792923E+02  1.30327425E+06  1.01244637E+06  1.24063021E+06  0.00000000E+00  0.00000000E+00  4.11594733E+05
 1.776787E+02  1.32179544E+06  1.02409544E+06  1.28193380E+06  0.00000000E+00  0.00000000E+00  4.29211273E+05
 1.760914E+02  1.33556334E+06  1.04028734E+06  1.32423615E+06  0.00000000E+00  0.00000000E+00  4.46947699E+05
 1.745322E+02  1.34860172E+06  1.05932566E+06  1.36772405E+06  0.00000000E+00  0.00000000E+00  4.64475297E+05
 1.730028E+02  1.36206078E+06  1.07783569E+06  1.40838856E+06  0.00000000E+00  0.00000000E+00  4.73125834E+05
 1.714976E+02  1.37378353E+06  1.09324190E+06  1.44012767E+06  0.00000000E+00  0.00000000E+00  4.65277970E+05
 1.700184E+02  1.38296461E+06  1.10592671E+06  1.46084945E+06  0.00000000E+00  0.00000000E+00  4.50307485E+05
 1.685667E+02  1.39016556E+06  1.11757977E+06  1.47499687E+06  0.00000000E+00  0.00000000E+00  4.46231312E+05
 1.671374E+02  1.39621655E+06  1.12727268E+06  1.48895804E+06  0.00000000E+00  0.00000000E+00  4.43082089E+05
 1.657321E+02  1.40108960E+06  1.13442937E+06  1.50055757E+06  0.00000000E+00  0.00000000E+00  4.30549213E+05
 1.643524E+02  1.40471457E+06  1.13990179E+06  1.50236863E+06  0.00000000E+00  0.00000000E+00  4.23505446E+05
 1.629934E+02  1.40635294E+06  1.14203458E+06  1.49349857E+06  0.00000000E+00  0.00000000E+00  4.28002749E+05
 1.616567E+02  1.40465384E+06  1.13822209E+06  1.47885825E+06  0.00000000E+00  0.00000000E+00  4.30372524E+05
 1.603437E+02  1.40087639E+06  1.13008251E+06  1.46209770E+06  0.00000000E+00  0.00000000E+00  4.24549189E+05
 1.590499E+02  1.39721662E+06  1.12165043E+06  1.44547552E+06  0.00000000E+00  0.00000000E+00  4.13157401E+05
 1.577768E+02  1.39408392E+06  1.11750652E+06  1.43210561E+06  0.00000000E+00  0.00000000E+00  3.94616561E+05
 1.565259E+02  1.39310196E+06  1.11980671E+06  1.42558868E+06  0.00000000E+00  0.00000000E+00  3.62182909E+05
 1.552928E+02  1.39604539E+06  1.12505525E+06  1.42633076E+06  0.00000000E+00  0.00000000E+00  3.09949263E+05
 1.540789E+02  1.40167628E+06  1.13113440E+06  1.43265639E+06  0.00000000E+00  0.00000000E+00  2.30465379E+05
 1.528857E+02  1.40484176E+06  1.13675805E+06  1.43778286E+06  0.00000000E+00  0.00000000E+00  1.15708938E+05
 1.517090E+02  1.40257503E+06  1.13920802E+06  1.43371395E+06  0.00000000E+00  0.00000000E+00  3.45641778E+03
 1.505503E+02  1.39696762E+06  1.13852534E+06  1.41888191E+06  0.00000000E+00  0.00000000E+00  8.49338812E+04
 1.494109E+02  1.38947785E+06  1.13853995E+06  1.39891018E+06  0.00000000E+00  0.00000000E+00  1.45830165E+05
 1.482869E+02  1.37816841E+06  1.14316544E+06  1.38058028E+06  0.00000000E+00  0.00000000E+00  1.92660351E+05
 1.471797E+02  1.36474854E+06  1.15390347E+06  1.36541686E+06  0.00000000E+00  0.00000000E+00  2.31366026E+05
 1.460906E+02  1.35678087E+06  1.16831203E+06  1.35489687E+06  0.00000000E+00  0.00000000E+00  2.79849381E+05
 1.450158E+02  1.35671816E+06  1.18235088E+06  1.35033090E+06  0.00000000E+00  0.00000000E+00  3.42704964E+05
 1.439584E+02  1.35325349E+06  1.19225010E+06  1.34319015E+06  0.00000000E+00  0.00000000E+00  3.95937773E+05
 1.429147E+02  1.34022397E+06  1.19810325E+06  1.32840638E+06  0.00000000E+00  0.00000000E+00  4.24692500E+05
