 #Energy          XX              YY             ZZ              XY              YZ              XZ
 5.976294E+02  2.78775753E+00  2.83170427E+00  2.77916050E+00  0.00000000E+00  0.00000000E+00  2.21496305E-01
 5.800701E+02  2.80242227E+00  2.84847040E+00  2.79350885E+00  0.00000000E+00  0.00000000E+00  2.19910105E-01
 5.634877E+02  2.81799464E+00  2.86636927E+00  2.80878643E+00  0.00000000E+00  0.00000000E+00  2.18970810E-01
 5.478269E+02  2.83442630E+00  2.88543448E+00  2.82499802E+00  0.00000000E+00  0.00000000E+00  2.18736624E-01
 5.330361E+02  2.85161530E+00  2.90559346E+00  2.84214650E+00  0.00000000E+00  0.00000000E+00  2.19192463E-01
 5.190012E+02  2.86970241E+00  2.92697748E+00  2.86023331E+00  0.00000000E+00  0.00000000E+00  2.20230195E-01
 5.057070E+02  2.88899842E+00  2.94986538E+00  2.87937859E+00  0.00000000E+00  0.00000000E+00  2.21351172E-01
 4.930573E+02  2.90999646E+00  2.97463045E+00  2.89995883E+00  0.00000000E+00  0.00000000E+00  2.22668345E-01
 4.810250E+02  2.93314926E+00  3.00166850E+00  2.92232671E+00  0.00000000E+00  0.00000000E+00  2.25394004E-01
 4.695837E+02  2.95845572E+00  3.03134726E+00  2.94653690E+00  0.00000000E+00  0.00000000E+00  2.30317806E-01
 4.586571E+02  2.98592728E+00  3.06390920E+00  2.97262049E+00  0.00000000E+00  0.00000000E+00  2.37215821E-01
 4.482274E+02  3.01584456E+00  3.09960406E+00  3.00093964E+00  0.00000000E+00  0.00000000E+00  2.46638051E-01
 4.382770E+02  3.04833467E+00  3.13892591E+00  3.03188664E+00  0.00000000E+00  0.00000000E+00  2.60874422E-01
 4.287440E+02  3.08275321E+00  3.18202296E+00  3.06555024E+00  0.00000000E+00  0.00000000E+00  2.82103655E-01
 4.196169E+02  3.11751505E+00  3.22774431E+00  3.10111604E+00  0.00000000E+00  0.00000000E+00  3.10655851E-01
 4.108838E+02  3.15034377E+00  3.27232303E+00  3.13703274E+00  0.00000000E+00  0.00000000E+00  3.41990233E-01
 4.024938E+02  3.17977780E+00  3.31006548E+00  3.17243572E+00  0.00000000E+00  0.00000000E+00  3.68192084E-01
 3.944396E+02  3.20558254E+00  3.33941392E+00  3.20697969E+00  0.00000000E+00  0.00000000E+00  3.86094012E-01
