 #Energy          XX              YY             ZZ              XY              YZ              XZ
 2.988219E+02  1.04560361E+00  1.57451498E+00  1.19404085E+00  0.00000000E+00  0.00000000E+00  5.76172424E-01
 2.943594E+02  1.09616316E+00  1.62614957E+00  1.25730419E+00  0.00000000E+00  0.00000000E+00  5.26567694E-01
 2.900351E+02  1.15634770E+00  1.67897086E+00  1.31300257E+00  0.00000000E+00  0.00000000E+00  4.80499701E-01
 2.858293E+02  1.22619042E+00  1.73811823E+00  1.36308151E+00  0.00000000E+00  0.00000000E+00  4.32634531E-01
 2.817438E+02  1.30742235E+00  1.80248842E+00  1.42381998E+00  0.00000000E+00  0.00000000E+00  3.76472527E-01
 2.777797E+02  1.39645033E+00  1.86847269E+00  1.50280010E+00  0.00000000E+00  0.00000000E+00  3.14260472E-01
 2.739195E+02  1.47956188E+00  1.93284308E+00  1.58756432E+00  0.00000000E+00  0.00000000E+00  2.65691356E-01
 2.701652E+02  1.55120436E+00  2.00043596E+00  1.66263713E+00  0.00000000E+00  0.00000000E+00  2.56348117E-01
 2.665180E+02  1.61566603E+00  2.07704182E+00  1.71389125E+00  0.00000000E+00  0.00000000E+00  2.75759723E-01
 2.629625E+02  1.67952257E+00  2.14064710E+00  1.74804450E+00  0.00000000E+00  0.00000000E+00  2.72233517E-01
 2.595006E+02  1.74776246E+00  2.16494715E+00  1.78155309E+00  0.00000000E+00  0.00000000E+00  2.40935847E-01
 2.561339E+02  1.80978095E+00  2.14663254E+00  1.81279685E+00  0.00000000E+00  0.00000000E+00  2.12352072E-01
 2.528484E+02  1.85575024E+00  2.09537448E+00  1.83310697E+00  0.00000000E+00  0.00000000E+00  1.97824673E-01
 2.496460E+02  1.88923982E+00  2.02572901E+00  1.84164103E+00  0.00000000E+00  0.00000000E+00  1.90371151E-01
 2.465287E+02  1.91707558E+00  1.95712670E+00  1.84208062E+00  0.00000000E+00  0.00000000E+00  1.79146961E-01
 2.434834E+02  1.94187819E+00  1.90357218E+00  1.83877132E+00  0.00000000E+00  0.00000000E+00  1.53160427E-01
 2.405125E+02  1.96659660E+00  1.86887087E+00  1.83954419E+00  0.00000000E+00  0.00000000E+00  1.21997858E-01
 2.376178E+02  1.99036222E+00  1.84812792E+00  1.84333786E+00  0.00000000E+00  0.00000000E+00  8.83812340E-02
 2.347874E+02  2.00736645E+00  1.82868104E+00  1.83935178E+00  0.00000000E+00  0.00000000E+00  3.95408808E-02
 2.320237E+02  2.01386501E+00  1.80418719E+00  1.82869931E+00  0.00000000E+00  0.00000000E+00  2.79967485E-02
 2.293286E+02  2.00908578E+00  1.77751507E+00  1.81951203E+00  0.00000000E+00  0.00000000E+00  1.03164847E-01
 2.266912E+02  1.99770282E+00  1.75261500E+00  1.81163087E+00  0.00000000E+00  0.00000000E+00  1.71830961E-01
 2.241178E+02  1.98470926E+00  1.73240820E+00  1.80121659E+00  0.00000000E+00  0.00000000E+00  2.23920590E-01
 2.215982E+02  1.96801831E+00  1.71660725E+00  1.78483121E+00  0.00000000E+00  0.00000000E+00  2.60491555E-01
 2.191346E+02  1.94164384E+00  1.70461158E+00  1.75713038E+00  0.00000000E+00  0.00000000E+00  2.90130848E-01
 2.167291E+02  1.90428838E+00  1.69580682E+00  1.71714679E+00  0.00000000E+00  0.00000000E+00  3.17647321E-01
 2.143720E+02  1.86224193E+00  1.69105163E+00  1.67574783E+00  0.00000000E+00  0.00000000E+00  3.43134732E-01
 2.120657E+02  1.82167909E+00  1.69105429E+00  1.63963662E+00  0.00000000E+00  0.00000000E+00  3.66104691E-01
 2.098120E+02  1.78670001E+00  1.69063120E+00  1.60525944E+00  0.00000000E+00  0.00000000E+00  3.83879909E-01
 2.076022E+02  1.75380493E+00  1.68333260E+00  1.56469585E+00  0.00000000E+00  0.00000000E+00  3.98291488E-01
 2.054385E+02  1.71492960E+00  1.66550342E+00  1.51473791E+00  0.00000000E+00  0.00000000E+00  4.13473263E-01
 2.033228E+02  1.66694508E+00  1.63694379E+00  1.46173495E+00  0.00000000E+00  0.00000000E+00  4.26901374E-01
 2.012469E+02  1.61644029E+00  1.60110182E+00  1.41467554E+00  0.00000000E+00  0.00000000E+00  4.37986475E-01
